127.0.0.1 - - [08/Jun/2016:18:16:22 +0530] "GET / HTTP/1.1" 404 992
0:0:0:0:0:0:0:1 - - [08/Jun/2016:18:16:25 +0530] "GET /JspApp7-BothIncludes/ HTTP/1.1" 500 3185
0:0:0:0:0:0:0:1 - - [08/Jun/2016:18:18:00 +0530] "GET /JspApp7-BothIncludes/ HTTP/1.1" 200 733
0:0:0:0:0:0:0:1 - - [08/Jun/2016:18:19:08 +0530] "GET /JspApp7-BothIncludes/ HTTP/1.1" 200 733
0:0:0:0:0:0:0:1 - - [08/Jun/2016:18:19:21 +0530] "GET /JspApp7-BothIncludes/page1.jsp HTTP/1.1" 200 733
0:0:0:0:0:0:0:1 - - [08/Jun/2016:18:19:25 +0530] "GET /JspApp7-BothIncludes/page2.jsp HTTP/1.1" 200 851
0:0:0:0:0:0:0:1 - - [08/Jun/2016:18:19:30 +0530] "GET /JspApp7-BothIncludes/page3.jsp HTTP/1.1" 200 844
0:0:0:0:0:0:0:1 - - [08/Jun/2016:18:19:36 +0530] "GET /JspApp7-BothIncludes/page1.jsp HTTP/1.1" 200 733
0:0:0:0:0:0:0:1 - - [08/Jun/2016:18:19:37 +0530] "GET /JspApp7-BothIncludes/page2.jsp HTTP/1.1" 200 851
0:0:0:0:0:0:0:1 - - [08/Jun/2016:18:19:38 +0530] "GET /JspApp7-BothIncludes/page3.jsp HTTP/1.1" 200 844
0:0:0:0:0:0:0:1 - - [08/Jun/2016:18:19:39 +0530] "GET /JspApp7-BothIncludes/page2.jsp HTTP/1.1" 200 851
0:0:0:0:0:0:0:1 - - [08/Jun/2016:18:19:40 +0530] "GET /JspApp7-BothIncludes/page1.jsp HTTP/1.1" 200 733
0:0:0:0:0:0:0:1 - - [08/Jun/2016:18:19:41 +0530] "GET /JspApp7-BothIncludes/page3.jsp HTTP/1.1" 200 844
